Data Status,Vendor Name ,Vendor ID,Country ,Address ,Supplied Brands,Category ,Remarks,Contact Person ,WeChat / WhatsApp,Email,Website,Status
Tidak Complete,Autoparts Online,,Singapura,53 Ubi Road 1 Singapore 408698,"AUDI, VOLKSWAGEN, PORSCHE, MERCEDES-BENZ, BMW",,"Bodypart, sparepart",,(65) 9674 7590,sales@autoparts-online.com.sg,https://autoparts-online.com.sg/,Aktif
Tidak Complete,Sing Spare Parts,SSP,Singapura,45 Ubi Crescent S(408590),,,"Drive shaft, steering rack, column, propeller shaft, Aircon compressor (for ev car and hybrid car only)",,(65) 80139793,sales@singspare.com.sg,https://singspareparts.sg/,On Process
Tidak Complete,Eng Soon Auto PTE LTD,ESA,Singapura,,"BMW, MINI COOPER",,"Bodypart, sparepart",KC,(65) 8190 0576,,,Aktif
Tidak Complete,He Xing Autoparts,HXA,Singapura,,CHERY,,"Bodypart, sparepart",,(65) 9175 2575,,,On Process
Tidak Complete,Kyger,KYG,China,,"LAND ROVER, JAGUAR, BMW, MERCEDES-BENZ",,"Bodypart, sparepart",,(86) 137 1517 6452,,,Aktif
Tidak Complete,"Chongqing Ditai Auto Parts Manufacturing Co.,Ltd.",DPA,China,"A2 1801, Saturn Building, No. 90 Xingguang Avenue, Liangjiang New District, Chongqing","MG, CHERY",,"Bodypart, sparepart",Nicole,(86) 13527443828,nicole@cqswautoparts.com,https://www.cqswautoparts.com/,Aktif
Tidak Complete,"Jinan Yuxi Trading Co., Ltd",JY,China,"Room 501-4, Building 6, Qisheng Plaza, Xinluo Avenue, Shunhua Road Subdistrict, High-tech Zone, Jinan City, Shandong Province, China","GEELY, CHERY, BYD, GWM, CHANGAN",,"Bodypart, sparepart",,(86) 13181734414,15623181631@163.com,,On Process
Tidak Complete,Jastiper Justin,JJ,Singapura,,,,"Bodypart, sparepart, accessories",Justin,(65) 9733 7513,,,Aktif
Tidak Complete,Yueqing QYT Autopart,,China,,,,,Eric,(86) 1361 5770 655,,,Aktif
Tidak Complete,Euro Parts,EP,Singapura,,,,,Phua,(65) 9233 8458,,,Aktif
Tidak Complete,Pioneer Auto ,,Singapura,,,,,,(65) 9754 3771,,,Aktif
Tidak Complete,"Autobridge (Xiamen) Vehicle Parts Co.,LTD.",ABX,China,,,,Aksesoris,Aven,+8613859907600,,,Aktif
Tidak Complete,"Beauvais Auto Parts Co., LTD",BVA,China,"No.64 Yingbin East Road, Gaobeidian City，Hebei，China","CHERY, JETOUR, GWM, DFSK, BYD, MG, GEELY, CHANGAN",,Spareparts,Derek,86 18631225885,info@mybeauvais.com,,Aktif
Tidak Complete,"ESY (Shanghai) Technology Co.,Ltd.",ESY,China,"Fenjing Economic Community, Jinshan Distric, Shanghai, China","JETOUR, CHERY, GWM",,Body kit,Erica,,erica@esy4x4.com,,Aktif
Tidak Complete,Drivewise Auto Parts,DW,Singapura,"3 Ang Mo Kio Street 62, #06-31, Singapore 569139","HYUNDAI, KIA, TOYOTA, LEXUS, MAZDA, RENAULT",,,Stan,+65 8263 5051,,,Aktif
Tidak Complete,"Huihong Auto Parts Co., Ltd",,,,,,,Shanshang Peng,Alibaba,,,Tidak Aktif
Tidak Complete,MC Accessories Sdn Bhd,,Malaysia,"7th Ave, Setia Alam No. 12, Jln Setia Dagang, AJ U13/AJ, 40170 Shah Alam, Selangor Darul Ehsan, Malaysia",,,"(Goldfren, MTX, Putoline, KAGE, MotoBatt, K&N_",,+60 12-265 0132,,,Tidak Aktif
Tidak Complete,"Wuhu Kaichuang Auto Parts Trading Co., Ltd.",KC,China,"Room 1128, Building 3, Zone D, Nanxiang Wanshang Trade Logistics City, Guandou Street Wuhu Anhui CN","CHERY, JETOUR",,"Bodypart, sparepart",Leo Lu,86 13955382480,kcqp123@aliyun.com,https://kcqp.en.alibaba.com/,Aktif
Tidak Complete,FONTANA INDAH MOTOR,FIM,Indonesia,"Jl. Gn. Sahari XI No.21, RT.7/RW.3, Gn. Sahari Utara, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10720",CHANGAN,,Spare & Body parts,Deviara,+62 857-7337-753,,https://www.chevrolet.co.id/,Aktif
Tidak Complete,"Zhuo Meng (Shanghai) Automobile Import and Export Co.,Ltd.",ZM,China,,"MG, GEELY, CHERY, GWM, CHANGAN, BYD",,Body & Spare Parts,Jennifer,8613341702319,,,On Process
Tidak Complete,PT ASUKI BATAM,AB,Indonesia,"Jalan Komplek Tanah Mas Blok K No.3, Sungai Panas, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29432",,,Body & Spare Parts/ALL BRAND,Admin Toko,+62 812-3601-5186,,,Aktif
Tidak Complete,ARUL JAYA MOTOR,AJM,Indonesia,"JAKARTA PUSAT,INDONESIA",ALL BRANDS,Suspension,SHOCKBREAKER & PER,ANTO,081617223343,,,Aktif
Tidak Complete,SURYA MAS MOTOR,SMM,Indonesia,,"HINO, ISUZU, TOYOTA, DAIHATSU, HONDA, NISSAN",Bodypart,BODYPART & SPAREPART,CHRISNA CENDANA,62,,,Aktif
Complete,CAR STEREO,CS,Indonesia,"Blk. A No.1, Tlk. Tering, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29444, Indonesia",ALL BRANDS,Interior,ACCESSORIES,ADMIN TOKO,62 812-7686-2306,batamcarstereo@gmail.com,,Aktif
Tidak Complete,SYSTEM MOTOR,SM,Indonesia,,ALL BRANDS,,FIILTER OLI,SUIHOK,62 851-0002-7869',,,Aktif
Tidak Complete,CHONGBANG ,CBA,China,,MAZDA,"Bodypart, Brake, Lighting, Engine, Electrical, Suspension, Interior, Exterior, Transmission, AC / Cooling",BODYPART & SPAREPART,FREYA,,,,Aktif
Complete,SIMNU PT Sempurna Indah Multi nusantara,SIM,Indonesia,"Bandung, Jawa barat",ALL BRANDS,Interior,Jok Kulit Mobil custom. PVC & PU Synthetic leather,Theresia S,6282119172385 / 62225203818,sales2@simnu.com,https://simnu.com/,Tidak Aktif
Complete,Hebei Mingye Auto Parts Co. Ltd,HBA,China,"hebei, china","NISSAN, MITSUBISHI, HINO, ISUZU, VOLVO",Brake,brake drum / wheel hub,Jessica,15076875257,brakedrumfactory@autoaxlepart.com,https://autoaxlepart.com/,Tidak Aktif
Complete, X World Car Industry Auto Parts,XWC,China,"Jiangsu , China",CHEVROLET,Bodypart,for aveo / Optra 2023,He lei,13606109827 / 15052967999,466687451@qq.com,,Tidak Aktif
Tidak Complete,"Hebei Weihu Auto Parts co., Ltd",HWA,China,"hebei, china","BYD, TOYOTA, HYUNDAI, LEXUS, MAZDA, HONDA, SUZUKI, SUBARU",Engine,"Lower Arm, Engine Mounting",Jason Shao,8618612456190,,,Tidak Aktif
Tidak Complete,Original Manufacturer specilaized in ignition coils,,China,China,ALL BRANDS,Engine,"ignition coils, fuel injector",Admin,8613161988858,,,Tidak Aktif
Complete,"Boswell guangdong ubest technology co., Ltd",BWG,China,guangzhou,ALL BRANDS,Exterior,"car beauty, car appearance products, car maintenance, spray paints, tire cleaner, polishing.",Carmen Zeng,8618819450940,carmen.zeng@ubestcar.com,http://ub-boswell.com/,Tidak Aktif
Complete,Changzhou Landor Trading Company,LAN,China,"changzhou, jiangsu","BMW, MERCEDES-BENZ, TOYOTA, CBU",Bodypart,"sparepart, bodypart",Windy,8618112322461,windy@landor-auto.com,https://www.landorparts.com/,Tidak Aktif
Complete,"Shanghai Powered Autoparts co., Ltd",POW,China,Shanghai,"MERCEDES-BENZ, VOLVO, SCANIA, RENAULT, CBU","Suspension, Engine","chassis, shock absorber, accesory, hub bearing",Lily Cai,862169180662,info7@poweredchina.com,http://poweredchina.com/,Tidak Aktif
Complete,NGA PT nusantara Global Autoparts,NGA,Indonesia,"Jakarta, Indonesia","DAIHATSU, HYUNDAI, MITSUBISHI, TOYOTA, SUZUKI, MAZDA, HONDA, MERCEDES-BENZ, CBU, BMW","Bodypart, Interior, Exterior",spare part dan body parts,ricardo,6281288019528,nbm.wee@gmail.com,https://ngautopart.com/,Tidak Aktif
Tidak Complete,T-Opt,TOP,Indonesia,"Jakarta, Indonesia",TOYOTA,"Transmission, Brake, Exterior",,,,,https://aftersales.toyota.astra.co.id/products/t-opt,Tidak Aktif
Complete,"Hunan Dexin Auto parts co., LTd",HUN,China,"Hunan, china","VOLVO, MERCEDES-BENZ, SCANIA, MAN, IVECO, HYUNDAI, CBU",Suspension,leaf spring untuk mobil komersial,christine,8615211924654,christine@dexin-auto.com,https://www.dexin-auto.com/en/,Tidak Aktif
Complete,"Changzhou changzheng import and export co., LTD",CWO,China,"Jiangsu , China","CHERY, BYD, BAIC, WULING, FORD, GEELY",Bodypart,bodypart and sparepart,Coco Yang,8613685282299,coco.yang@unicopart.com,https://www.unicopart.com/,On Process
Complete,"Danyang Jinyi Auto parts co., LTD",DJA,China,"Jiangsu , China","TOYOTA, CBU",Bodypart,"toyota , lexus, hilux, alphard, bodypart and sparepart",Jenny Ye,8613952916735,jenny_35jyplastic@163.com,http://www.jsjiaer.com/en/,Tidak Aktif
Complete,"Hebei xingyue Braking Element co., LTd",HBX,China,"Hebei, China","BYD, GEELY, CHERY, BAIC",Brake,braking,Amanda,8618730823797 / 8603185391888,amandaliu@hbxingyue.com,http://www.hbxingyue.com/en/,Tidak Aktif
Complete,"Hebei Yixin Automotive parts co., Ltd",HBY,China,"hebei, China",ALL BRANDS,Brake,brake pad,admin,8613263388838 / 8617718333086,17718333086@163.com,,Tidak Aktif
Tidak Complete,Hyundai&KIA,HAK,China,,"KIA, HYUNDAI","Brake, Suspension, Transmission",kaki kaki,admin,17710763086,,,Tidak Aktif
Complete,Beijing Yunlongjiahe Trading,BYL,China,yunlongjiahe.taobao.com,"HYUNDAI, KIA, CHEVROLET","Engine, Bodypart, Transmission",mesin chasssis part,Ran Xiao Long,8613910242244,bj_yunlongjiahe@163.com,,Tidak Aktif
Tidak Complete,PALAPA MOTOR,PM,Indonesia,"Pasar Mobil Kemayoran Blok A No.5C-5D Jakarta, 14410",TOYOTA,"Brake, Suspension, Electrical, AC / Cooling","brake pad acc, clip fitting brakepad, komponen rem, stabilizer link, damper electric, cooling system, general auto spare parts",Hendry,021-6543061//021-6540858,,https://www.tokopedia.com/palapamotor ; https://api.whatsapp.com/send/?phone=62081806708248&text&type=phone_number&app_absent=0 ,Tidak Aktif
Complete,"CANGZHOU TIANRUI AUTO PARTS CO.,LTD",CTA,China,"Xingbieying Industrial Zone, Hejian City, Cangzhou City, Hebei Province","VOLVO, SCANIA, IVECO, ISUZU, MITSUBISHI, HYUNDAI, MERCEDES-BENZ, HINO",Brake,"front brake disc, rear brake disc, ventilated brake disc, solid brake disc",Li Bo Wen,13903277915,18832720353@163.com,www.zhichengqipei68.com,Tidak Aktif
Tidak Complete,CV. SUMBER MOTOR,CVSM,Indonesia,"Pasar Mobil Kemayoran (PRJ) Blok S No. 115, Jakarta Pusat","MITSUBISHI, HINO",,,Rusin,021-6540876//021-6542261,,,Tidak Aktif
Tidak Complete,SERIMPI MOTOR,SMO,Indonesia,Pasar Mobil Kemayoran Blok S/113A Jakarta Pusat,"MITSUBISHI, HINO, SUZUKI",,,Dedy/Reza/Serimpi,021-6540875//0216544679,,,Tidak Aktif
Tidak Complete,NAGA MAS MOTOR,NMM,Indonesia,Pasar Mobil Kemayoran (Bursa Mobil) Blok S No. 84 Jakarta,"TOYOTA, MAZDA, FORD",,,,021-6543765//021-6544262,,,Tidak Aktif
Tidak Complete,RENSEN MOTOR,RM,Indonesia,"Pasar Mobil Kemayoran Tahap II Blok F 38-39, Jakarta Pusat (Pintu Masuk IV)",CHEVROLET,"AC / Cooling, Interior, Exterior","SPAREPARTS & ACCESSORIES, SERVICE, AC",,021-65851084,TOKPED: ResenMotor IG: resen.motor FB: Rensen Motor,,Tidak Aktif
Tidak Complete,SURYA JAYA MOTOR,SJM,Indonesia,Pasar Mobil Kemayoran Blok S No.110B Jakarta Pusat,"TOYOTA, FORD, ISUZU, MITSUBISHI, SUZUKI, DAIHATSU",,,Yopi Salim,021-6540878//021-6545875,sjm_118a@yahoo.com,,Tidak Aktif
Tidak Complete,Istana Kaki-kaki Mobil,IKM,Indonesia,,"MAZDA, MITSUBISHI, HYUNDAI, TOYOTA, CHEVROLET, KIA, DAIHATSU, FORD","Brake, Suspension","TIEROD, KAMPAS REM, RACK STEERING, SHOCK BREAKER, BALLJOINT, DISC BRAKE, UPPER/LOWER ARM",Arya,,,,Tidak Aktif
Complete,"Donhu Automotive Parts Co., Ltd",DAP,China,Hebei,ALL BRANDS,"Suspension, Brake","kaki kaki, brake pad, suspension",Jiang Lingllin,8618631958307,2748657609@qq.com,https://www.hebeidonghu.com/products_list/1.html,Tidak Aktif
Complete,"Hefei Senmao Trading Co., Ltd",HFS,China,Hebei,"KIA, HYUNDAI","Bodypart, Interior",spare part dan aksesoris,Fan Bowen,"8617710763086, 8617701279533",3152529893@qq.com,,Tidak Aktif
Tidak Complete,Victory Machinery,VMA,China,,"HINO, MITSUBISHI","Engine, Brake, Suspension, Transmission","truck hino dan hyundai, bracket clutch brake steering ",,,,,Tidak Aktif
Complete,"Tongil Industries co., Ltd",TIC,Korea,"Hyeonggi do, korea","KIA, ISUZU, HYUNDAI","Brake, Engine, Suspension",truck dan passenger SUV,Lee Seok Woon,8224228831,korteco@daum.net,https://www.ticg.co.kr/main/main.php,Tidak Aktif
Complete,Lingyao Industrial,LYI,China,"Jiangsu, China","CHEVROLET, WULING","Bodypart, Engine",body part and engine,He Lei,13606109827 / 15052967999,466687451@qq.com,,Tidak Aktif
Complete,PT Karya Jaya Turbo,KJT,Indonesia,"Jakarta, Indonesia",MITSUBISHI,Engine,engine,Admin,021 6286672 / 6397403,karyajayaturbo@gmail.com,https://www.karyajayaturbo.com/,Tidak Aktif
Complete,PT yokomitsu auto parts,YOK,Indonesia,"Tangerang, indonesia","TOYOTA, HONDA, NISSAN, SUZUKI","Brake, Suspension, Bodypart","Suku cadang kaki-kaki, kemudi, dan suspensi mobil ",wawan,081317251565/ 6285183065717,admin@yokomitsu-autopartsid.com,,Tidak Aktif
Complete,Baohong Auto Body Parts,BHO,China,"JIangsu, China","TOYOTA, LEXUS, TESLA, CHEVROLET, HONDA, MAZDA, NISSAN",Bodypart,OEM,david zhong,8613776428028,zhong4310@163.com,jsbhqp.com,On Process
Tidak Complete,putra jaya motor,PJM,Indonesia,,"TOYOTA, LEXUS, NISSAN, HONDA, DAIHATSU, HYUNDAI, BYD, MAZDA, MERCEDES-BENZ, MINI COOPER, BMW, PORSCHE, CHERY, CBU","Bodypart, Brake, Suspension, Lighting, Engine",,Admin,62 851-8303-9211,,https://www.putrajayamotor.com/,On Process
Tidak Complete,"Guangzhou Dezhibao Auto Parts CO., LTD. (ROJASS)",RJ,China,"No.1919 Guangyuan East Road, Yuexiu District, Guangzhou, China","MERCEDES-BENZ, BMW, PORSCHE, LAND ROVER",,,Lulu,86 136 6248 8899,PLY88899@163.com,,Tidak Aktif
Tidak Complete,"Danyang Ruihang Vehicle Parts Co., LTD.",RH,China,"Jinqiao Village, Danbei Town, Danyang City","HONDA, TOYOTA, CHEVROLET, MAZDA, FORD, NISSAN, KIA, HYUNDAI, MITSUBISHI",,,,8618994992678,361084181@qq.com,,Tidak Aktif
Complete,ANEKA BAN,ANB,Indonesia,"Jln.Ahmad Yani Ruko Taman Eden Park no. A 22-24 Kel, Baloi Permai, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29122",ALL BRANDS,Exterior,BAN,ADMIN,+62 812-6169-7706,-,,Aktif
Complete,Nice BYD,NBD,China,China,BYD,"Bodypart, Brake, Engine, Suspension, Interior, Exterior, Transmission",Semua jenis BYD,Admin,+8613553066901,w13553066901@gmail.com,https://nicebyd.com/,Tidak Aktif
Tidak Complete,BUDI MANDIRI,BM,,,,,,,,,,
Tidak Complete,SHOPEE MARKETPLACE,SHP,Indonesia,"Jakarta, Indonesia",,,,,,,,
Tidak Complete,PT.EUROKARS MOTOR INDONESIA,MAD,Indonesia,"Jakarta, Indonesia",,,,,,,,
Tidak Complete,Majesty Autopart Trading,MAT,Indonesia,,,,,,,,,
Tidak Complete,BYONE-PT. GEMILANG BUMITAMA RAYA ,BYO,China,,,,,Admin,85280808881,,,On Process
Tidak Complete,Jae Auto SG,JA,Singapura,,,,,,,,,
Tidak Complete,MY CHINA CAR,,China,,,,,, +86 133 8603 1951,info@evsupplychina.com,https://evsupplychina.com/en,Tidak Aktif
Tidak Complete,PT.Lintas teknik mandala (Auto Ban),ABAN,Indonesia,Jl duyung baloi danau blok c1 no.4,,,,,,,,
Tidak Complete,Kexing Auto,,China,,"KIA, TOYOTA, HYUNDAI",,,,8617563222368,kexinggj@gmail.com,,Tidak Aktif
Tidak Complete,Guangzhou Taixin Auto Parts,,China,,"HYUNDAI, KIA","Engine, Suspension, Electrical, Bodypart",,,8613676282878,gzhyundaikia@163.com,,Tidak Aktif
Complete,JIAYAO TRADING,JT,China," Taojinbei Road, Guangzhou, Guangdong, China",MERCEDES-BENZ,"Bodypart, Engine, Suspension, Exterior","ORIGINAL, OEM, AFTERMARKET",Leo,+8618988974182,-,-,Aktif
Complete,Yung Soon Auto Supply Co,YS,Singapura,"24 Upper Weld Rd, Singapore 207381","TOYOTA, LEXUS","Bodypart, Brake, Lighting, Engine, Electrical, Suspension, AC / Cooling",ORIGINAL,Admin,+65 6298 6988,-,-,Aktif
Tidak Complete,MAJESTY AUTO PRIMA,MAP,Indonesia,,,,,,,,,
Tidak Complete,TOKOPEDIA,TKP,Indonesia,MARKETPLACE,,,,,,,,
Complete,TRANSGLOBER AUTO PTE LTD,TG,Singapura,"66 Tannery Ln #01-05B Singapore 347805, Tannery Ln, 347805","TOYOTA, LEXUS","Bodypart, Brake, Lighting, Electrical, Suspension, Exterior, Engine, Transmission","ORIGINAL, OEM, AFTERMARKET",Admin,65 6842 3393,-,-,Aktif
Complete,YUEN THONG & CO PTE LTD,YT,Singapura,"43 Genting Rd, Singapore 349487, Singapore","MAZDA, LEXUS, TOYOTA","Bodypart, Brake, Lighting, Electrical, Suspension, Exterior, Engine, Transmission","ORIGINAL, OEM, AFTERMARKET",Alvin,+65 8710 7754,Ytcalvin6766@hotmail.com,https://yuenthong.com,Aktif
Tidak Complete,PT SAFARI MAS RAYA,SMR,Indonesia,,,,,,,,,
Tidak Complete,PT BERKAT SAHABAT SEJATI INDONESIA,BSS,Indonesia,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
